timestep,episode,reward,mean_reward
148603,1040,84.0,67.2
148782,1041,105.0,67.62
148853,1042,63.0,68.04
148952,1043,21.0,67.41
149125,1044,84.0,67.83
149184,1045,42.0,67.2
149314,1046,105.0,67.83
149471,1047,126.0,68.67
149636,1048,84.0,68.25
149784,1049,84.0,67.62
149949,1050,84.0,68.25
150057,1051,63.0,68.88
150118,1052,21.0,68.04
150192,1053,63.0,68.04
150357,1054,105.0,68.25
150488,1055,63.0,67.83
150613,1056,105.0,68.46
150762,1057,21.0,67.2
150857,1058,42.0,66.36
150988,1059,42.0,66.57
151113,1060,105.0,67.2
