timestep,episode,reward,length,mean_reward,mean_length
80103,509,5.0,145,4.35,142.56
80276,510,5.0,173,4.36,142.93
80457,511,4.0,181,4.32,142.48
80648,512,4.0,191,4.35,144.16
80958,513,6.0,310,4.39,146.34
81123,514,7.0,165,4.45,147.7
81440,515,10.0,317,4.54,150.58
81561,516,5.0,121,4.55,150.32
81751,517,5.0,190,4.55,150.72
81818,518,3.0,67,4.54,150.44
81841,519,0.0,23,4.52,149.6
82044,520,6.0,203,4.55,150.3
82205,521,6.0,161,4.54,149.83
82578,522,8.0,373,4.58,151.35
82610,523,1.0,32,4.56,150.02
82892,524,8.0,282,4.59,151.51
83022,525,4.0,130,4.58,151.22
83211,526,6.0,189,4.6,151.86
83512,527,9.0,301,4.67,153.04
83617,528,2.0,105,4.68,153.5
83885,529,8.0,268,4.72,154.68
84082,530,2.0,197,4.71,154.76
84439,531,12.0,357,4.8,156.84
84748,532,7.0,309,4.79,158.57
84987,533,8.0,239,4.82,159.68
85176,534,6.0,189,4.85,160.24
85247,535,3.0,71,4.82,158.82
85402,536,2.0,155,4.74,158.24
85596,537,6.0,194,4.71,158.41
85684,538,2.0,88,4.71,156.36
85777,539,1.0,93,4.67,155.88
85851,540,2.0,74,4.66,155.05
86012,541,8.0,161,4.72,156.05
86225,542,5.0,213,4.71,156.71
86382,543,4.0,157,4.72,156.87
86611,544,5.0,229,4.7,157.67
86739,545,4.0,128,4.67,157.39
86880,546,2.0,141,4.68,158.14
87045,547,4.0,165,4.68,158.3
87170,548,3.0,125,4.7,158.92
87317,549,8.0,147,4.61,155.91
87498,550,5.0,181,4.62,155.99
87639,551,4.0,141,4.59,155.59
87670,552,1.0,31,4.6,155.73
87878,553,5.0,208,4.64,157.21
88059,554,5.0,181,4.63,157.87
88240,555,7.0,181,4.65,158.19
88405,556,6.0,165,4.67,158.51
88550,557,6.0,145,4.67,158.36
88851,558,10.0,301,4.77,160.81
89048,559,6.0,197,4.77,161.32
89129,560,2.0,81,4.73,159.92
89432,561,12.0,303,4.81,161.31
89573,562,6.0,141,4.86,161.84
89818,563,5.0,245,4.89,162.99
89975,564,5.0,157,4.92,163.15
90109,565,5.0,134,4.92,163.61
90157,566,0.0,48,4.88,162.22
90263,567,4.0,106,4.92,162.33
90374,568,3.0,111,4.91,161.65
90645,569,8.0,271,4.95,162.74
90834,570,1.0,189,4.9,163.14
91135,571,9.0,301,4.92,163.94
91224,572,3.0,89,4.95,164.51
91450,573,7.0,226,4.99,165.45
91631,574,5.0,181,5.03,167.02
91790,575,5.0,159,5.03,166.99
91865,576,3.0,75,5.05,166.33
92072,577,6.0,207,5.04,166.81
92293,578,6.0,221,5.06,167.45
92364,579,2.0,71,5.01,166.27
92503,580,5.0,139,4.98,165.49
92649,581,7.0,146,4.96,165.16
92689,582,1.0,40,4.93,163.99
92877,583,4.0,188,4.89,164.38
92952,584,1.0,75,4.85,163.32
93209,585,8.0,257,4.89,164.59
93296,586,1.0,87,4.85,162.77
93531,587,6.0,235,4.89,164.09
93610,588,3.0,79,4.89,163.81
93757,589,5.0,147,4.89,163.98
94026,590,8.0,269,4.89,164.78
94113,591,4.0,87,4.9,164.4
94236,592,3.0,123,4.88,164.14
94416,593,2.0,180,4.82,163.96
94455,594,1.0,39,4.76,162.92
94850,595,14.0,395,4.9,166.58
95007,596,4.0,157,4.93,167.86
95156,597,7.0,149,4.94,167.41
95281,598,1.0,125,4.89,166.93
95345,599,2.0,64,4.84,165.89
95467,600,6.0,122,4.89,166.61
95555,601,2.0,88,4.86,165.92
95680,602,3.0,125,4.88,166.83
95962,603,6.0,282,4.89,168.14
96111,604,4.0,149,4.89,168.8
96302,605,8.0,191,4.91,169.49
96699,606,11.0,397,4.99,172.15
96804,607,4.0,105,4.96,170.67
96965,608,4.0,161,4.93,170.07
97110,609,9.0,145,4.97,170.07
97283,610,6.0,173,4.98,170.07
97532,611,7.0,249,5.01,170.75
97653,612,7.0,121,5.04,170.05
97843,613,7.0,190,5.05,168.85
97909,614,2.0,66,5.0,167.86
98186,615,9.0,277,4.99,167.46
98367,616,5.0,181,4.99,168.06
98529,617,6.0,162,5.0,167.78
98662,618,1.0,133,4.98,168.44
98835,619,8.0,173,5.06,169.94
99440,620,12.0,605,5.12,173.96
99499,621,3.0,59,5.09,172.94
99528,622,1.0,29,5.02,169.5
99770,623,8.0,242,5.09,171.6
100119,624,10.0,349,5.11,172.27
100245,625,4.0,126,5.11,172.23
100311,626,3.0,66,5.08,171.0
100548,627,6.0,237,5.05,170.36
100745,628,9.0,197,5.12,171.28
100803,629,1.0,58,5.05,169.18
100886,630,3.0,83,5.06,168.04
101155,631,8.0,269,5.02,167.16
101368,632,7.0,213,5.02,166.2
101515,633,3.0,147,4.97,165.28
101648,634,4.0,133,4.95,164.72
101933,635,3.0,285,4.95,166.86
102074,636,4.0,141,4.97,166.72
102134,637,2.0,60,4.93,165.38
102265,638,4.0,131,4.95,165.81
102558,639,11.0,293,5.05,167.81
102669,640,2.0,111,5.05,168.18
103790,641,23.0,1121,5.2,177.78
104007,642,3.0,217,5.18,177.82
104374,643,4.0,367,5.18,179.92
104431,644,1.0,57,5.14,178.2
104814,645,9.0,383,5.19,180.75
105219,646,6.0,405,5.23,183.39
105282,647,2.0,63,5.21,182.37
105861,648,7.0,579,5.25,186.91
105924,649,3.0,63,5.2,186.07
105953,650,1.0,29,5.16,184.55
106046,651,4.0,93,5.16,184.07
106080,652,1.0,34,5.16,184.1
106369,653,9.0,289,5.2,184.91
106584,654,5.0,215,5.2,185.25
106675,655,2.0,91,5.15,184.35
106904,656,5.0,229,5.14,184.99
107159,657,11.0,255,5.19,186.09
107396,658,9.0,237,5.18,185.45
107469,659,4.0,73,5.16,184.21
107590,660,2.0,121,5.16,184.61
107879,661,9.0,289,5.13,184.47
108124,662,6.0,245,5.13,185.51
108289,663,4.0,165,5.12,184.71
108486,664,5.0,197,5.12,185.11
108853,665,10.0,367,5.17,187.44
109002,666,5.0,149,5.22,188.45
109307,667,5.0,305,5.23,190.44
109580,668,9.0,273,5.29,192.06
109767,669,9.0,187,5.3,191.22
109849,670,1.0,82,5.3,190.15
110030,671,9.0,181,5.3,188.95
110291,672,2.0,261,5.29,190.67
110484,673,7.0,193,5.29,190.34
110665,674,2.0,181,5.26,190.34
110792,675,3.0,127,5.24,190.02
110987,676,10.0,195,5.31,191.22
111195,677,9.0,208,5.34,191.23
111394,678,7.0,199,5.35,191.01
111469,679,2.0,75,5.35,191.05
111485,680,0.0,16,5.3,189.82
111971,681,9.0,486,5.32,193.22
112168,682,4.0,197,5.35,194.79
112317,683,6.0,149,5.37,194.4
112546,684,8.0,229,5.44,195.94
112695,685,4.0,149,5.4,194.86
112932,686,9.0,237,5.48,196.36
113089,687,3.0,157,5.45,195.58
113200,688,3.0,111,5.45,195.9
113416,689,7.0,216,5.47,196.59
113459,690,2.0,43,5.41,194.33
113688,691,6.0,229,5.43,195.75
114029,692,12.0,341,5.52,197.93
114349,693,14.0,320,5.64,199.33
114436,694,3.0,87,5.66,199.81
114563,695,4.0,127,5.56,197.13
114716,696,6.0,153,5.58,197.09
114928,697,8.0,212,5.59,197.72
115237,698,6.0,309,5.64,199.56
115386,699,5.0,149,5.67,200.41
115473,700,0.0,87,5.61,200.06
115826,701,12.0,353,5.71,202.71
116055,702,7.0,229,5.75,203.75
116220,703,3.0,165,5.72,202.58
116529,704,8.0,309,5.76,204.18
116771,705,9.0,242,5.77,204.69
117032,706,8.0,261,5.74,203.33
